y_true,y_pred_xgb,error_xgb
7.2,6.904224,0.29577608108520526
7.6,7.091241,0.5087591171264645
7.4,6.862178,0.5378221511840824
7.2,7.022606,0.17739410400390643
7.4,7.358213,0.04178705215454137
6.8,6.6716495,0.1283505439758299
7.0,7.240563,-0.24056291580200195
4.333333333333333,6.8345065,-2.5011731783548994
7.6,6.7927327,0.8072672843933102
7.0,7.091241,-0.09124088287353516
6.4,6.8078914,-0.40789136886596644
7.0,6.885009,0.1149911880493164
6.75,6.836198,-0.0861978530883789
7.2,7.2229257,-0.022925662994384588
6.0,6.815064,-0.8150639533996582
7.25,6.862178,0.38782215118408203
7.2,6.836198,0.36380214691162127
7.0,7.2125196,-0.21251964569091797
7.5,7.0035996,0.4964003562927246
7.0,6.8436956,0.15630435943603516
6.5,6.921593,-0.42159318923950195
7.6,7.208891,0.39110908508300746
7.1000000000000005,6.8678412,0.23215875625610405
7.0,6.9549303,0.04506969451904297
7.5,7.193726,0.3062739372253418
6.85,6.9086947,-0.05869474411010778
7.0,6.9450564,0.05494356155395508
4.875,6.6842756,-1.8092756271362305
7.574999999999999,6.8963275,0.6786725044250481
7.0625,6.887875,0.17462491989135742
6.425000000000001,6.9540057,-0.5290057182312005
7.2,6.919204,0.2807957649230959
6.9375,6.8974743,0.04002571105957031
7.2,6.855001,0.34499902725219744
6.05,6.7905912,-0.7405912399291994
7.166666666666667,7.058439,0.10822788874308298
7.15,7.0747504,0.07524957656860387
7.0,6.8187003,0.18129968643188477
7.375,7.2380905,0.13690948486328125
6.9375,6.8388405,0.09865951538085938
6.3125,7.0404263,-0.7279262542724609
7.649999999999999,7.255728,0.39427223205566264
6.800000000000001,6.9450564,-0.1450564384460442
6.800000000000001,6.897749,-0.09774894714355398
7.6,7.076076,0.5239239692687985
6.9,6.8974743,0.0025257110595706678
7.0,6.887875,0.11212491989135742
5.416666666666666,6.7528644,-1.33619769414266
7.55,6.8766007,0.6733992576599119
7.125,6.7578053,0.36719465255737305
6.45,6.859443,-0.40944318771362287
7.4,6.9450564,0.45494356155395543
7.125,6.8974743,0.2275257110595703
7.2,6.830098,0.36990184783935565
6.1,6.8477726,-0.7477725982666019
7.083333333333333,7.0595856,0.023747762044270537
7.1,7.0747504,0.02524957656860316
7.0,6.8187003,0.18129968643188477
7.25,7.2380905,0.01190948486328125
6.875,6.8289666,0.046033382415771484
6.125,6.832769,-0.7077689170837402
7.699999999999999,7.255728,0.44427223205566335
6.5,6.9450564,-0.4450564384460449
6.6000000000000005,6.897749,-0.29774894714355415
7.7,7.076076,0.623923969268799
6.95,6.7413836,0.20861644744873065
7.0,6.897749,0.10225105285644531
5.958333333333333,6.7528644,-0.7945310274759931
7.525,6.8766007,0.6483992576599125
7.1875,6.721117,0.4663829803466797
6.475,6.849037,-0.3740371704101566
7.6,7.255728,0.3442722320556637
7.3125,6.8974743,0.4150257110595703
7.2,6.844595,0.35540504455566424
6.15,6.9054976,-0.7554975509643551
7.0,7.0595856,-0.0595855712890625
7.05,6.9450564,0.1049435615539549
7.0,6.8187003,0.18129968643188477
7.125,7.2380905,-0.11309051513671875
6.8125,6.8388405,-0.026340484619140625
5.9375,6.6842756,-0.7467756271362305
7.75,7.255728,0.49427223205566406
6.2,6.9549303,-0.7549303054809569
6.4,6.897749,-0.49774894714355433
7.8,7.058439,0.7415612220764158
7.0,6.7413836,0.25861644744873047
7.0,6.897749,0.10225105285644531
6.5,6.71614,-0.2161397933959961
7.5,6.8766007,0.6233992576599121
7.25,6.710711,0.5392889976501465
6.5,6.849037,-0.34903717041015625
7.8,7.255728,0.5442722320556639
7.5,6.8505664,0.6494336128234863
7.2,7.021539,0.17846078872680682
6.2,6.9304004,-0.7304003715515135
7.0,7.0854797,-0.085479736328125
7.0,6.9450564,0.05494356155395508
7.0,6.8621655,0.1378345489501953
7.0,6.9450564,0.05494356155395508
6.75,6.8388405,-0.08884048461914062
7.0,6.9684467,0.03155326843261719
5.75,6.6921926,-0.942192554473877
8.0,6.9684467,1.0315532684326172
7.8,7.255728,0.5442722320556639
6.8,6.9684467,-0.168446731567383
8.0,6.9684467,1.0315532684326172
8.0,6.7489395,1.2510604858398438
7.4,7.058439,0.34156122207641637
7.0,6.7269607,0.2730393409729004
7.6,6.8572025,0.7427974700927731
8.0,6.766902,1.233098030090332
6.8,6.862178,-0.062177848815918146
6.6,6.852886,-0.25288619995117223
4.8,7.015022,-2.2150218009948732
8.0,7.255728,0.7442722320556641
6.8,6.8465495,-0.046549510955810725
7.0,7.0057144,-0.00571441650390625
7.0,6.9304004,0.06959962844848633
6.6,6.90451,-0.30451002120971715
7.333333333333333,6.84252,0.4908130963643389
7.5,6.9684467,0.5315532684326172
7.2,6.9684467,0.23155326843261737
7.4,6.8388405,0.5611595153808597
7.4,7.020373,0.37962713241577184
6.8,6.6998563,0.10014371871948224
8.0,7.128783,0.8712167739868164
7.8,7.091241,0.7087591171264647
7.2,7.048849,0.15115089416503924
8.666666666666666,7.0952735,1.571393171946207
8.333333333333334,6.9684467,1.3648866017659511
7.0,7.2148204,-0.21482038497924805
8.0,6.921593,1.078406810760498
7.2,6.921593,0.2784068107604982
7.4,6.921593,0.4784068107604984
7.5,6.921593,0.578406810760498
6.5,6.921593,-0.42159318923950195
6.5,6.921593,-0.42159318923950195
7.6,6.921593,0.6784068107604977
6.0,6.921593,-0.921593189239502
5.6,6.921593,-1.3215931892395023
6.6,6.921593,-0.3215931892395023
7.0,6.921593,0.07840681076049805
6.4,6.921593,-0.5215931892395016
7.2,6.921593,0.2784068107604982
7.2,6.921593,0.2784068107604982
6.8,6.921593,-0.12159318923950213
7.2,6.921593,0.2784068107604982
6.6,6.921593,-0.3215931892395023
7.0,6.921593,0.07840681076049805
8.75,6.921593,1.828406810760498
7.2,6.921593,0.2784068107604982
8.2,6.921593,1.2784068107604973
7.2,6.921593,0.2784068107604982
6.8,6.921593,-0.12159318923950213
8.0,6.921593,1.078406810760498
7.2,7.111146,0.08885402679443377
8.0,7.0454607,0.9545392990112305
7.0,7.0973625,-0.09736251831054688
6.4,7.2148204,-0.8148203849792477
7.25,6.8025365,0.4474635124206543
6.2,6.976267,-0.7762668609619139
6.6,7.111146,-0.5111459732055668
5.8,6.8848534,-1.0848533630371096
6.6,6.662052,-0.06205215454101598
6.8,6.991134,-0.19113416671752947
7.5,6.9433484,0.5566515922546387
7.0,6.961699,0.03830099105834961
7.0,6.9499445,0.050055503845214844
7.0,6.9599,0.04010009765625
7.0,7.0597205,-0.059720516204833984
6.8,6.9499445,-0.14994449615478533
7.225,6.8739777,0.35102233886718714
8.0,6.921593,1.078406810760498
6.4,6.97915,-0.5791498184204098
7.4,6.94564,0.4543599128723148
7.6,7.1870193,0.4129806518554684
6.8,6.7178864,0.08211355209350568
8.0,7.0573826,0.9426174163818359
7.75,6.9599,0.79010009765625
6.2,7.0597205,-0.8597205162048338
7.5,7.2148204,0.28517961502075195
6.4,6.8987556,-0.49875555038452113
7.25,7.2395673,0.010432720184326172
7.6,7.0693192,0.5306807518005368
7.0,6.833409,0.16659116744995117
7.0,7.2395673,-0.23956727981567383
6.0,6.832769,-0.8327689170837402
6.4,6.918702,-0.518702125549316
6.0,6.841388,-0.8413882255554199
6.8,6.883773,-0.08377285003662127
6.0,6.8987556,-0.8987555503845215
6.0,7.125569,-1.1255688667297363
7.0,7.025854,-0.025854110717773438
6.6,6.875237,-0.2752369880676273
7.0,7.0693192,-0.06931924819946289
6.4,6.8987556,-0.49875555038452113
6.8,6.875237,-0.07523698806762713
7.25,6.8987556,0.3512444496154785
7.6,7.125569,0.4744311332702633
6.5,6.7762275,-0.2762274742126465
6.8,6.8895717,-0.08957166671752947
7.2,7.009311,0.19068880081176776
6.8,6.8987556,-0.09875555038452166
8.25,7.1927304,1.05726957321167
7.6,7.2395673,0.3604327201843258
