y_true,y_pred_lstm,error_lstm
8.0,6.8710527,1.1289473
6.75,7.195699,-0.44569921
6.4,6.699589,-0.29958868
6.8,7.1387825,-0.3387823
7.6,7.2776694,0.32233047
6.8,7.0252914,-0.22529125
7.2,7.311674,-0.11167431
8.0,7.3363085,0.6636915
7.8,7.692344,0.107656
7.5,7.0750613,0.42493868
7.0,6.6018457,0.39815426
8.0,7.571987,0.42801285
6.8,7.076529,-0.27652884
7.5,7.1642265,0.33577347
6.75,6.8077197,-0.057719707
7.0,7.3346643,-0.33466434
7.2,7.125864,0.07413578
6.8,7.1149817,-0.31498146
7.25,6.9584303,0.2915697
5.0,6.255499,-1.2554989
5.75,6.213279,-0.46327877
6.0,6.4779854,-0.47798538
8.5,7.8856454,0.6143546
7.2222223,7.348767,-0.12654448
7.0,6.895562,0.10443783
7.0,7.092409,-0.092409134
7.0,6.772713,0.22728682
7.2,6.4879227,0.71207714
7.25,7.159117,0.09088278
7.4,7.4254513,-0.025451183
6.0,6.89593,-0.8959298
6.0,7.1652036,-1.1652036
6.6,7.464172,-0.864172
7.2,7.601567,-0.40156698
7.0,7.307549,-0.307549
7.6,6.876423,0.723577
8.0,7.60952,0.39048004
7.0,6.872348,0.12765217
8.0,7.285001,0.7149992
6.2,6.65567,-0.45567036
7.8,7.271072,0.5289283
7.0,7.1152835,-0.11528349
7.0,6.974971,0.025029182
6.8,7.0770197,-0.2770195
5.0,6.522895,-1.5228949
6.6666665,6.282474,0.38419247
6.25,6.307741,-0.057741165
7.8333335,8.027541,-0.19420767
7.0,7.2897124,-0.28971243
6.0,7.032399,-1.0323992
7.0,6.957122,0.04287815
7.0,6.9538074,0.046192646
7.0,6.610706,0.38929415
7.0,7.3637543,-0.36375427
9.0,7.488308,1.511692
6.3333335,6.4584603,-0.12512684
6.2,6.741551,-0.5415511
6.2,7.0208683,-0.8208685
6.6,7.2456975,-0.6456976
6.2,7.154035,-0.9540353
7.8,7.173292,0.62670803
7.8,7.6349173,0.16508293
7.0,6.8877935,0.11220646
7.0,7.5891914,-0.58919144
6.4,6.5124793,-0.11247921
7.55,7.3519177,0.19808245
7.15,7.0331326,0.11686754
7.125,6.999294,0.1257062
6.85,6.944564,-0.09456396
5.25,6.322261,-1.0722609
6.5555553,6.572472,-0.016916752
6.2375,6.16993,0.06757021
7.575,7.8884106,-0.31341076
7.1,7.2116385,-0.111638546
7.0,6.923075,0.0769248
7.3333335,7.044375,0.28895855
7.25,6.7756104,0.47438955
8.375,7.7072015,0.6677985
6.65,6.5830193,0.06698084
6.8,6.9304504,-0.13045025
6.55,6.7526293,-0.20262909
7.9,7.3153358,0.58466434
7.85,7.622344,0.22765589
7.1,6.843008,0.25699186
7.35,7.489852,-0.13985205
7.3,7.359112,-0.059111595
7.3,7.0069613,0.29303885
7.25,6.9899383,0.26006174
6.9,6.9531617,-0.05316162
5.5,6.100333,-0.6003332
6.4444447,6.6207404,-0.17629576
6.225,6.19486,0.030139923
7.3166666,7.749295,-0.43262863
7.2,7.120736,0.07926369
7.0,6.969164,0.030836105
7.6666665,7.113035,0.5536313
7.5,7.0566006,0.44339943
7.75,7.7665896,-0.016589642
7.0,7.002003,-0.002003193
6.9,6.7504163,0.14958382
8.0,7.4613504,0.53864956
7.9,7.676394,0.22360611
7.2,6.866034,0.33396578
7.7,7.492573,0.20742702
7.05,7.310275,-0.2602749
7.45,7.011624,0.43837595
7.375,7.0248475,0.3501525
6.95,7.033526,-0.083526134
5.75,6.118166,-0.36816597
6.3333335,6.608171,-0.2748375
6.2125,6.209194,0.003305912
